LinkID,Node1,Node2,Capacity,Distance,MaxSpeed,NumLane,RoadWidth,RoadType,RoadName
1,28227,28226,750.0,0.027,20.0,2,1.5,tertiary,Jalan Kalisari I
2,28226,28227,750.0,0.027,20.0,2,1.5,tertiary,Jalan Kalisari I
3,28226,28225,750.0,0.012,20.0,2,1.5,tertiary,Jalan Kalisari I
4,28225,28226,750.0,0.012,20.0,2,1.5,tertiary,Jalan Kalisari I
5,28225,28224,750.0,0.017,20.0,2,1.5,tertiary,Jalan Kalisari I
6,28224,28225,750.0,0.017,20.0,2,1.5,tertiary,Jalan Kalisari I
7,28224,28223,750.0,0.009,20.0,2,1.5,tertiary,Jalan Kalisari I
8,28223,28224,750.0,0.009,20.0,2,1.5,tertiary,Jalan Kalisari I
9,28223,28222,750.0,0.025,20.0,2,1.5,tertiary,Jalan Kalisari I
10,28222,28223,750.0,0.025,20.0,2,1.5,tertiary,Jalan Kalisari I
11,28222,28221,750.0,0.016,20.0,2,1.5,tertiary,Jalan Kalisari I
12,28221,28222,750.0,0.016,20.0,2,1.5,tertiary,Jalan Kalisari I
13,28221,28220,750.0,0.009,20.0,2,1.5,tertiary,Jalan Kalisari I
14,28220,28221,750.0,0.009,20.0,2,1.5,tertiary,Jalan Kalisari I
15,28220,28219,750.0,0.009,20.0,2,1.5,tertiary,Jalan Kalisari I
16,28219,28220,750.0,0.009,20.0,2,1.5,tertiary,Jalan Kalisari I
17,28219,28218,750.0,0.013,20.0,2,1.5,tertiary,Jalan Kalisari I
18,28218,28219,750.0,0.013,20.0,2,1.5,tertiary,Jalan Kalisari I
19,28218,28217,750.0,0.009,20.0,2,1.5,tertiary,Jalan Kalisari I
20,28217,28218,750.0,0.009,20.0,2,1.5,tertiary,Jalan Kalisari I
21,28217,28216,750.0,0.012,20.0,2,1.5,tertiary,Jalan Kalisari I
22,28216,28217,750.0,0.012,20.0,2,1.5,tertiary,Jalan Kalisari I
23,28216,28215,750.0,0.052,20.0,2,1.5,tertiary,Jalan Kalisari I
24,28215,28216,750.0,0.052,20.0,2,1.5,tertiary,Jalan Kalisari I
25,28215,28214,750.0,0.012,20.0,2,1.5,tertiary,Jalan Kalisari I
26,28214,28215,750.0,0.012,20.0,2,1.5,tertiary,Jalan Kalisari I
27,28214,28213,750.0,0.008,20.0,2,1.5,tertiary,Jalan Kalisari I
28,28213,28214,750.0,0.008,20.0,2,1.5,tertiary,Jalan Kalisari I
29,28213,28212,750.0,0.025,20.0,2,1.5,tertiary,Jalan Kalisari I
30,28212,28213,750.0,0.025,20.0,2,1.5,tertiary,Jalan Kalisari I
31,3852,3853,750.0,0.002,20.0,2,1.5,tertiary,Jalan Kalisari 3
32,3853,3852,750.0,0.002,20.0,2,1.5,tertiary,Jalan Kalisari 3
33,3853,3854,750.0,0.001,20.0,2,1.5,tertiary,Jalan Kalisari 3
34,3854,3853,750.0,0.001,20.0,2,1.5,tertiary,Jalan Kalisari 3
35,3854,3855,750.0,0.004,20.0,2,1.5,tertiary,Jalan Kalisari 3
36,3855,3854,750.0,0.004,20.0,2,1.5,tertiary,Jalan Kalisari 3
37,3855,3856,750.0,0.007,20.0,2,1.5,tertiary,Jalan Kalisari 3
38,3856,3855,750.0,0.007,20.0,2,1.5,tertiary,Jalan Kalisari 3
39,3856,3857,750.0,0.008,20.0,2,1.5,tertiary,Jalan Kalisari 3
40,3857,3856,750.0,0.008,20.0,2,1.5,tertiary,Jalan Kalisari 3
41,3857,3858,750.0,0.003,20.0,2,1.5,tertiary,Jalan Kalisari 3
42,3858,3857,750.0,0.003,20.0,2,1.5,tertiary,Jalan Kalisari 3
43,3858,3859,750.0,0.009,20.0,2,1.5,tertiary,Jalan Kalisari 3
44,3859,3858,750.0,0.009,20.0,2,1.5,tertiary,Jalan Kalisari 3
45,3859,3860,750.0,0.006,20.0,2,1.5,tertiary,Jalan Kalisari 3
46,3860,3859,750.0,0.006,20.0,2,1.5,tertiary,Jalan Kalisari 3
47,3860,3861,750.0,0.006,20.0,2,1.5,tertiary,Jalan Kalisari 3
48,3861,3860,750.0,0.006,20.0,2,1.5,tertiary,Jalan Kalisari 3
49,3827,3865,1500.0,0.03,20.0,2,3,secondary,Jalan Kalianyar
50,3865,3864,1500.0,0.043,20.0,2,3,secondary,Jalan Kalianyar
51,3864,3863,1500.0,0.027,20.0,2,3,secondary,Jalan Kalianyar
52,3863,3862,1500.0,0.044,20.0,2,3,secondary,Jalan Kalianyar
53,3862,3861,1500.0,0.03,20.0,2,3,secondary,Jalan Kalianyar
54,3861,3849,1500.0,0.045,20.0,2,3,secondary,Jalan Kalianyar
55,3849,3848,1500.0,0.006,20.0,2,3,secondary,Jalan Kalianyar
56,3848,3847,1500.0,0.04,20.0,2,3,secondary,Jalan Kalianyar
57,3847,3846,1500.0,0.021,20.0,2,3,secondary,Jalan Kalianyar
58,3846,3845,1500.0,0.03,20.0,2,3,secondary,Jalan Kalianyar
59,3845,3844,1500.0,0.025,20.0,2,3,secondary,Jalan Kalianyar
60,3844,3843,1500.0,0.016,20.0,2,3,secondary,Jalan Kalianyar
