LinkID,Node1,Node2,Capacity,Distance,MaxSpeed
1,1,46,0.101,10.1,40
2,1,45,0.101,10.1,40
3,2,39,0.303,7.2,40
4,42,2,0.275,5.5,40
5,47,3,0.101,10.1,40
6,47,46,0.03,7,20
7,46,45,0.046,5,40
8,44,47,0.0984,5.4,40
9,44,18,0.101,10.1,40
10,18,44,0.101,10.1,40
11,40,17,0.101,10.1,40
12,17,40,0.101,10.1,40
13,40,42,0.024,5.5,40
14,45,43,0.13,5,40
15,43,41,0.105,5,40
16,41,39,0.018,5.5,40
17,39,37,0.05,11,40
18,38,37,0.006,4.8,20
19,37,36,0.016,9,40
20,36,35,0.04,11,40
21,35,33,0.3,11,40
22,33,32,0.08,8,40
23,32,29,0.107,8,40
24,29,27,0.023,8,40
25,29,30,0.015,2.5,20
26,29,58,0.101,10.1,40
27,58,8,0.101,10.1,40
28,8,25,0.101,10.1,40
29,25,26,0.101,10.1,40
30,8,22,0.101,10.1,40
31,22,23,0.101,10.1,40
32,27,26,0.023,8,40
33,26,23,0.124,12,40
34,23,4,0.101,10.1,40
35,4,24,0.101,10.1,40
36,24,28,0.18,14.4,40
37,28,27,0.015,2.5,20
38,28,30,0.015,8,40
39,30,31,0.024,3.8,40
40,30,15,0.101,10.1,40
41,15,30,0.101,10.1,40
42,31,34,0.163,14.4,40
43,34,33,0.05,5.5,40
44,16,34,0.101,10.1,40
45,34,38,0.3684,14.4,40
46,38,40,0.063,18,40
47,40,44,0.1962,18,40
48,43,76,0.0444,8.4,40
49,30,29,0.05,5.5,40
50,76,75,0.108,9.6,40
51,76,73,0.108,6,40
52,73,76,0.09,4.8,40
53,75,74,0.337,5.6,40
54,74,5,0.101,10.1,40
55,5,74,0.101,10.1,40
56,74,71,0.11,9.7,40
57,71,72,0.0852,7.8,40
58,55,63,0.278,6,40
59,72,75,0.0888,8.6,40
60,72,73,0.018,4.05,40
61,73,72,0.018,4.05,40
62,73,41,0.0168,4.05,40
63,41,73,0.0168,4.05,40
64,71,66,0.045,2.4,40
65,71,69,0.018,4.2,40
66,66,64,0.0732,3,40
67,64,63,0.0516,5.4,40
68,63,62,0.018,3,40
69,62,61,0.12,3.5,40
70,61,62,0.12,3.5,40
71,62,65,0.06,6.5,40
72,65,14,0.101,10.1,40
73,14,65,0.101,10.1,40
74,65,66,0.06,3,40
75,66,69,0.052,2.5,40
76,69,21,0.101,10.1,40
77,21,69,0.101,10.1,40
78,69,68,0.1,5.2,40
79,63,55,0.278,6,40
80,72,68,0.008,5.2,40
81,68,61,0.1254,4.2,40
84,68,67,0.0826,6,40
85,67,35,0.021,5.4,40
86,70,71,0.044,4.5,40
88,60,77,0.15,4.5,40
89,77,70,0.094,4.5,40
90,60,7,0.101,10.1,40
91,7,60,0.101,10.1,40
92,51,60,0.168,4.8,40
94,51,49,0.0992,4.8,40
96,49,48,0.1338,2.4,40
97,48,49,0.1338,2.4,40
98,48,6,0.101,10.1,40
99,6,48,0.101,10.1,40
100,49,50,0.0948,5.4,40
101,50,9,0.101,10.1,40
102,9,50,0.101,10.1,40
103,50,52,0.0992,4.8,40
104,52,50,0.0992,4.8,40
105,52,10,0.101,10.1,40
106,10,52,0.101,10.1,40
107,52,51,0.948,5.4,40
108,55,52,0.1212,5.4,40
109,55,54,0.019,2.7,40
110,53,54,0.0516,5.4,40
111,54,11,0.101,10.1,40
112,11,54,0.101,10.1,40
113,50,53,0.134,5.4,40
114,54,56,0.118,6.3,40
115,57,55,0.1398,5.4,40
116,56,32,0.048,6.3,40
117,33,57,0.1068,11.4,40
118,57,12,0.101,10.1,40
119,12,57,0.101,10.1,40
120,59,57,0.117,5.5,40
121,59,13,0.101,10.1,40
122,13,59,0.101,10.1,40
123,61,59,0.176,12,40
124,73,19,0.101,10.1,40
125,19,73,0.101,10.1,40
126,65,64,0.048,2.5,40
127,61,20,0.101,10.1,40
128,20,61,0.101,10.1,40
129,54,55,0.02,2.7,40
136,77,63,0.15,7,40
137,59,34,0.05,6,40
138,3,78,0.101,10.1,100
139,4,78,0.101,10.1,100
140,5,78,0.101,10.1,100
141,6,78,0.101,10.1,100
142,7,78,0.101,10.1,100
143,8,78,0.101,10.1,100
144,9,78,0.101,10.1,100
145,10,78,0.101,10.1,100
146,11,78,0.101,10.1,100
147,12,78,0.101,10.1,100
148,13,78,0.101,10.1,100
149,14,78,0.101,10.1,100
150,15,78,0.101,10.1,100
151,2,78,0.101,10.1,100
152,17,78,0.101,10.1,100
153,18,78,0.101,10.1,100
154,19,78,0.101,10.1,100
155,20,78,0.101,10.1,100
156,21,78,0.101,10.1,100
157,78,1,0.101,10.1,100
158,78,2,0.101,10.1,100
159,78,4,0.101,10.1,100
160,78,5,0.101,10.1,100
161,78,6,0.101,10.1,100
162,78,7,0.101,10.1,100
163,78,8,0.101,10.1,100
164,78,9,0.101,10.1,100
165,78,10,0.101,10.1,100
166,78,11,0.101,10.1,100
167,78,12,0.101,10.1,100
168,78,13,0.101,10.1,100
169,78,14,0.101,10.1,100
171,78,16,0.101,10.1,100
172,78,17,0.101,10.1,100
173,78,18,0.101,10.1,100
174,78,19,0.101,10.1,100
175,78,20,0.101,10.1,100
176,78,21,0.101,10.1,100
