LinkID,Node1,Node2,Capacity,Distance,MaxSpeed,NumLane,RoadWidth,RoadType,RoadName
1,191,190,3000,0.071,35.0,2,6,tertiary,Jalan Citra Raya Niaga
2,190,189,3000,0.013,35.0,2,6,tertiary,Jalan Citra Raya Niaga
3,189,188,3000,0.01,35.0,2,6,tertiary,Jalan Citra Raya Niaga
4,188,187,3000,0.014,35.0,2,6,tertiary,Jalan Citra Raya Niaga
5,187,186,3000,0.013,35.0,2,6,tertiary,Jalan Citra Raya Niaga
6,186,185,3000,0.007,35.0,2,6,tertiary,Jalan Citra Raya Niaga
7,185,184,3000,0.02,35.0,2,6,tertiary,Jalan Citra Raya Niaga
8,12,11,1500.0,0.001,35.0,2,3.0,tertiary,Jalan Gapura Lontar Barat
9,11,12,1500.0,0.001,35.0,2,3.0,tertiary,Jalan Gapura Lontar Barat
10,11,10,1500.0,0.003,35.0,2,3.0,tertiary,Jalan Gapura Lontar Barat
11,10,11,1500.0,0.003,35.0,2,3.0,tertiary,Jalan Gapura Lontar Barat
12,134,133,8000.0,0.005,65.0,2,16,tertiary,Niaga Gapura Road
13,133,132,8000.0,0.013,65.0,2,16,tertiary,Niaga Gapura Road
14,132,131,8000.0,0.012,65.0,2,16,tertiary,Niaga Gapura Road
15,131,130,8000.0,0.017,65.0,2,16,tertiary,Niaga Gapura Road
16,130,129,8000.0,0.002,65.0,2,16,tertiary,Niaga Gapura Road
17,129,128,8000.0,0.001,65.0,2,16,tertiary,Niaga Gapura Road
18,128,127,8000.0,0.001,65.0,2,16,tertiary,Niaga Gapura Road
19,127,126,8000.0,0.001,65.0,2,16,tertiary,Niaga Gapura Road
20,126,125,8000.0,0.003,65.0,2,16,tertiary,Niaga Gapura Road
21,125,124,8000.0,0.008,65.0,2,16,tertiary,Niaga Gapura Road
22,124,123,8000.0,0.0,65.0,2,16,tertiary,Niaga Gapura Road
23,123,122,8000.0,0.0,65.0,2,16,tertiary,Niaga Gapura Road
24,122,121,8000.0,0.001,65.0,2,16,tertiary,Niaga Gapura Road
25,121,120,8000.0,0.004,65.0,2,16,tertiary,Niaga Gapura Road
26,120,119,8000.0,0.039,65.0,2,16,tertiary,Niaga Gapura Road
27,119,118,8000.0,0.005,65.0,2,16,tertiary,Niaga Gapura Road
28,118,117,8000.0,0.003,65.0,2,16,tertiary,Niaga Gapura Road
29,117,116,8000.0,0.002,65.0,2,16,tertiary,Niaga Gapura Road
30,116,115,8000.0,0.002,65.0,2,16,tertiary,Niaga Gapura Road
31,115,114,8000.0,0.014,65.0,2,16,tertiary,Niaga Gapura Road
32,114,113,8000.0,0.023,65.0,2,16,tertiary,Niaga Gapura Road
33,113,178,8000.0,0.001,65.0,2,16,tertiary,Niaga Gapura Road
34,167,168,1500.0,0.002,35.0,2,3.0,tertiary,n/a
35,168,167,1500.0,0.002,35.0,2,3.0,tertiary,n/a
36,168,169,1500.0,0.002,35.0,2,3.0,tertiary,n/a
37,169,168,1500.0,0.002,35.0,2,3.0,tertiary,n/a
38,169,170,1500.0,0.002,35.0,2,3.0,tertiary,n/a
39,170,169,1500.0,0.002,35.0,2,3.0,tertiary,n/a
40,170,171,1500.0,0.0,35.0,2,3.0,tertiary,n/a
41,171,170,1500.0,0.0,35.0,2,3.0,tertiary,n/a
42,171,172,1500.0,0.001,35.0,2,3.0,tertiary,n/a
43,172,171,1500.0,0.001,35.0,2,3.0,tertiary,n/a
44,172,173,1500.0,0.002,35.0,2,3.0,tertiary,n/a
45,173,172,1500.0,0.002,35.0,2,3.0,tertiary,n/a
46,173,174,1500.0,0.002,35.0,2,3.0,tertiary,n/a
47,174,173,1500.0,0.002,35.0,2,3.0,tertiary,n/a
48,174,175,1500.0,0.004,35.0,2,3.0,tertiary,n/a
49,175,174,1500.0,0.004,35.0,2,3.0,tertiary,n/a
50,175,176,1500.0,0.004,35.0,2,3.0,tertiary,n/a
51,176,175,1500.0,0.004,35.0,2,3.0,tertiary,n/a
52,176,177,1500.0,0.004,35.0,2,3.0,tertiary,n/a
53,177,176,1500.0,0.004,35.0,2,3.0,tertiary,n/a
54,177,178,1500.0,0.004,35.0,2,3.0,tertiary,n/a
55,178,177,1500.0,0.004,35.0,2,3.0,tertiary,n/a
56,178,179,1500.0,0.002,35.0,2,3.0,tertiary,n/a
57,179,178,1500.0,0.002,35.0,2,3.0,tertiary,n/a
58,179,180,1500.0,0.001,35.0,2,3.0,tertiary,n/a
59,180,179,1500.0,0.001,35.0,2,3.0,tertiary,n/a
60,180,181,1500.0,0.0,35.0,2,3.0,tertiary,n/a
61,181,180,1500.0,0.0,35.0,2,3.0,tertiary,n/a
62,181,182,1500.0,0.001,35.0,2,3.0,tertiary,n/a
63,182,181,1500.0,0.001,35.0,2,3.0,tertiary,n/a
64,182,183,1500.0,0.002,35.0,2,3.0,tertiary,n/a
65,183,182,1500.0,0.002,35.0,2,3.0,tertiary,n/a
66,183,184,1500.0,0.003,35.0,2,3.0,tertiary,n/a
67,184,183,1500.0,0.003,35.0,2,3.0,tertiary,n/a
68,184,164,1500.0,0.003,35.0,2,3.0,tertiary,n/a
69,164,184,1500.0,0.003,35.0,2,3.0,tertiary,n/a
70,164,165,1500.0,0.003,35.0,2,3.0,tertiary,n/a
71,165,164,1500.0,0.003,35.0,2,3.0,tertiary,n/a
72,165,166,1500.0,0.003,35.0,2,3.0,tertiary,n/a
73,166,165,1500.0,0.003,35.0,2,3.0,tertiary,n/a
74,166,167,1500.0,0.003,35.0,2,3.0,tertiary,n/a
75,167,166,1500.0,0.003,35.0,2,3.0,tertiary,n/a
76,174,153,6000.0,0.004,65.0,1,12,tertiary,Niaga Gapura Road
77,153,152,6000.0,0.003,65.0,1,12,tertiary,Niaga Gapura Road
78,152,151,6000.0,0.023,65.0,1,12,tertiary,Niaga Gapura Road
79,151,150,6000.0,0.016,65.0,1,12,tertiary,Niaga Gapura Road
80,150,149,6000.0,0.003,65.0,1,12,tertiary,Niaga Gapura Road
81,149,148,6000.0,0.004,65.0,1,12,tertiary,Niaga Gapura Road
82,148,147,6000.0,0.004,65.0,1,12,tertiary,Niaga Gapura Road
83,147,146,6000.0,0.007,65.0,1,12,tertiary,Niaga Gapura Road
