LinkID,Node1,Node2,Capacity,Distance,MaxSpeed,NumLane,RoadWidth,RoadType,RoadName
1,966,965,1000.0,0.002,25.0,2,2.0,tertiary,Jalan Nginden Intan Raya
2,965,966,1000.0,0.002,25.0,2,2.0,tertiary,Jalan Nginden Intan Raya
3,495,496,1000.0,0.005,25.0,2,2.0,tertiary,Jalan Barata Jaya 17
4,496,495,1000.0,0.005,25.0,2,2.0,tertiary,Jalan Barata Jaya 17
5,496,497,1000.0,0.052,25.0,2,2.0,tertiary,Jalan Barata Jaya 17
6,497,496,1000.0,0.052,25.0,2,2.0,tertiary,Jalan Barata Jaya 17
7,497,498,1000.0,0.047,25.0,2,2.0,tertiary,Jalan Barata Jaya 17
8,498,497,1000.0,0.047,25.0,2,2.0,tertiary,Jalan Barata Jaya 17
9,498,499,1000.0,0.045,25.0,2,2.0,tertiary,Jalan Barata Jaya 17
10,499,498,1000.0,0.045,25.0,2,2.0,tertiary,Jalan Barata Jaya 17
11,499,500,1000.0,0.016,25.0,2,2.0,tertiary,Jalan Barata Jaya 17
12,500,499,1000.0,0.016,25.0,2,2.0,tertiary,Jalan Barata Jaya 17
13,500,501,1000.0,0.014,25.0,2,2.0,tertiary,Jalan Barata Jaya 17
14,501,500,1000.0,0.014,25.0,2,2.0,tertiary,Jalan Barata Jaya 17
15,501,502,1000.0,0.086,25.0,2,2.0,tertiary,Jalan Barata Jaya 17
16,502,501,1000.0,0.086,25.0,2,2.0,tertiary,Jalan Barata Jaya 17
17,502,503,1000.0,0.051,25.0,2,2.0,tertiary,Jalan Barata Jaya 17
18,503,502,1000.0,0.051,25.0,2,2.0,tertiary,Jalan Barata Jaya 17
47,959,958,4000.0,0.014,45.0,1,8,tertiary,Jalan Nginden Intan Raya
48,958,957,4000.0,0.007,45.0,1,8,tertiary,Jalan Nginden Intan Raya
49,957,956,4000.0,0.002,45.0,1,8,tertiary,Jalan Nginden Intan Raya
50,956,955,4000.0,0.01,45.0,1,8,tertiary,Jalan Nginden Intan Raya
51,955,954,4000.0,0.001,45.0,1,8,tertiary,Jalan Nginden Intan Raya
52,954,953,4000.0,0.016,45.0,1,8,tertiary,Jalan Nginden Intan Raya
53,953,952,4000.0,0.003,45.0,1,8,tertiary,Jalan Nginden Intan Raya
54,952,951,4000.0,0.001,45.0,1,8,tertiary,Jalan Nginden Intan Raya
57,506,505,1500,0.008,20,1,2.75,tertiary,Jalan Barata Jaya 17
58,505,504,1500,0.005,20,1,2.75,tertiary,Jalan Barata Jaya 17
59,504,503,1500,0.009,20,1,2.75,tertiary,Jalan Barata Jaya 17
60,503,494,1500,0.012,20,1,2.75,tertiary,Jalan Barata Jaya 17
61,494,493,1500,0.005,20,1,2.75,tertiary,Jalan Barata Jaya 17
62,493,492,1500,0.011,20,1,2.75,tertiary,Jalan Barata Jaya 17
63,739,740,1500.0,0.0,35.0,4,3.0,tertiary,Jalan Klampis Jaya
64,740,739,1500.0,0.0,35.0,4,3.0,tertiary,Jalan Klampis Jaya
65,740,741,1500.0,0.001,35.0,4,3.0,tertiary,Jalan Klampis Jaya
66,741,740,1500.0,0.001,35.0,4,3.0,tertiary,Jalan Klampis Jaya
67,741,742,1500.0,0.0,35.0,4,3.0,tertiary,Jalan Klampis Jaya
68,742,741,1500.0,0.0,35.0,4,3.0,tertiary,Jalan Klampis Jaya
69,742,743,1500.0,0.0,35.0,4,3.0,tertiary,Jalan Klampis Jaya
70,743,742,1500.0,0.0,35.0,4,3.0,tertiary,Jalan Klampis Jaya
71,743,744,1500.0,0.002,35.0,4,3.0,tertiary,Jalan Klampis Jaya
72,744,743,1500.0,0.002,35.0,4,3.0,tertiary,Jalan Klampis Jaya
73,744,745,1500.0,0.001,35.0,4,3.0,tertiary,Jalan Klampis Jaya
74,745,744,1500.0,0.001,35.0,4,3.0,tertiary,Jalan Klampis Jaya
75,745,746,1500.0,0.001,35.0,4,3.0,tertiary,Jalan Klampis Jaya
76,746,745,1500.0,0.001,35.0,4,3.0,tertiary,Jalan Klampis Jaya
77,746,747,1500.0,0.004,35.0,4,3.0,tertiary,Jalan Klampis Jaya
78,747,746,1500.0,0.004,35.0,4,3.0,tertiary,Jalan Klampis Jaya
79,747,748,1500.0,0.002,35.0,4,3.0,tertiary,Jalan Klampis Jaya
80,748,747,1500.0,0.002,35.0,4,3.0,tertiary,Jalan Klampis Jaya
81,748,749,1500.0,0.006,35.0,4,3.0,tertiary,Jalan Klampis Jaya
82,749,748,1500.0,0.006,35.0,4,3.0,tertiary,Jalan Klampis Jaya
83,749,750,1500.0,0.007,35.0,4,3.0,tertiary,Jalan Klampis Jaya
84,750,749,1500.0,0.007,35.0,4,3.0,tertiary,Jalan Klampis Jaya
85,750,751,1500.0,0.005,35.0,4,3.0,tertiary,Jalan Klampis Jaya
86,751,750,1500.0,0.005,35.0,4,3.0,tertiary,Jalan Klampis Jaya
87,751,752,1500.0,0.004,35.0,4,3.0,tertiary,Jalan Klampis Jaya
88,752,751,1500.0,0.004,35.0,4,3.0,tertiary,Jalan Klampis Jaya
89,752,753,1500.0,0.009,35.0,4,3.0,tertiary,Jalan Klampis Jaya
90,753,752,1500.0,0.009,35.0,4,3.0,tertiary,Jalan Klampis Jaya
91,753,754,1500.0,0.009,35.0,4,3.0,tertiary,Jalan Klampis Jaya
92,754,753,1500.0,0.009,35.0,4,3.0,tertiary,Jalan Klampis Jaya
93,754,755,1500.0,0.002,35.0,4,3.0,tertiary,Jalan Klampis Jaya
94,755,754,1500.0,0.002,35.0,4,3.0,tertiary,Jalan Klampis Jaya
95,755,756,1500.0,0.001,35.0,4,3.0,tertiary,Jalan Klampis Jaya
96,756,755,1500.0,0.001,35.0,4,3.0,tertiary,Jalan Klampis Jaya
97,756,757,1500.0,0.003,35.0,4,3.0,tertiary,Jalan Klampis Jaya
98,757,756,1500.0,0.003,35.0,4,3.0,tertiary,Jalan Klampis Jaya
99,757,758,1500.0,0.004,35.0,4,3.0,tertiary,Jalan Klampis Jaya
100,758,757,1500.0,0.004,35.0,4,3.0,tertiary,Jalan Klampis Jaya
101,758,759,1500.0,0.004,35.0,4,3.0,tertiary,Jalan Klampis Jaya
102,759,758,1500.0,0.004,35.0,4,3.0,tertiary,Jalan Klampis Jaya
103,759,760,1500.0,0.009,35.0,4,3.0,tertiary,Jalan Klampis Jaya
104,760,759,1500.0,0.009,35.0,4,3.0,tertiary,Jalan Klampis Jaya
105,760,761,1500.0,0.006,35.0,4,3.0,tertiary,Jalan Klampis Jaya
106,761,760,1500.0,0.006,35.0,4,3.0,tertiary,Jalan Klampis Jaya
107,761,762,1500.0,0.012,35.0,4,3.0,tertiary,Jalan Klampis Jaya
108,762,761,1500.0,0.012,35.0,4,3.0,tertiary,Jalan Klampis Jaya
109,762,763,1500.0,0.003,35.0,4,3.0,tertiary,Jalan Klampis Jaya
110,763,762,1500.0,0.003,35.0,4,3.0,tertiary,Jalan Klampis Jaya
111,763,764,1500.0,0.005,35.0,4,3.0,tertiary,Jalan Klampis Jaya
112,764,763,1500.0,0.005,35.0,4,3.0,tertiary,Jalan Klampis Jaya
113,764,765,1500.0,0.01,35.0,4,3.0,tertiary,Jalan Klampis Jaya
114,765,764,1500.0,0.01,35.0,4,3.0,tertiary,Jalan Klampis Jaya
115,765,766,1500.0,0.001,35.0,4,3.0,tertiary,Jalan Klampis Jaya
116,766,765,1500.0,0.001,35.0,4,3.0,tertiary,Jalan Klampis Jaya
117,766,767,1500.0,0.003,35.0,4,3.0,tertiary,Jalan Klampis Jaya
118,767,766,1500.0,0.003,35.0,4,3.0,tertiary,Jalan Klampis Jaya
119,297,296,750.0,0.029,20.0,2,1.5,tertiary,Jalan Kalibokor Selatan
120,296,297,750.0,0.029,20.0,2,1.5,tertiary,Jalan Kalibokor Selatan
121,296,295,750.0,0.045,20.0,2,1.5,tertiary,Jalan Kalibokor Selatan
122,295,296,750.0,0.045,20.0,2,1.5,tertiary,Jalan Kalibokor Selatan
123,295,294,750.0,0.237,20.0,2,1.5,tertiary,Jalan Kalibokor Selatan
124,294,295,750.0,0.237,20.0,2,1.5,tertiary,Jalan Kalibokor Selatan
125,268,267,1500,0.02,20,1,2.75,secondary,Jalan Raya Menur
126,267,266,1500,0.008,20,1,2.75,secondary,Jalan Raya Menur
127,266,265,1500,0.005,20,1,2.75,secondary,Jalan Raya Menur
128,265,264,1500,0.003,20,1,2.75,secondary,Jalan Raya Menur
129,264,263,1500,0.002,20,1,2.75,secondary,Jalan Raya Menur
130,263,262,1500,0.004,20,1,2.75,secondary,Jalan Raya Menur
131,725,724,1500,0.006,20,1,2.75,tertiary,Jalan Arief Rahman Hakim
