u,v,key,osmid,name,highway,oneway,reversed,length,travel_time,regulated_max_speed,computed_max_speed,capacity,lanes,width,access,bridge,service,geometry
414554367,4636658609,0,379337421,Jalan Siwalankerto,residential,False,False,24.423,2.9,30,25.0,2000.0,2,4,,,,"LINESTRING (112.73039 -7.3374156, 112.7306088 -7.3374495)"
414554367,3826351304,0,379337421,Jalan Siwalankerto,residential,False,True,27.984,3.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.73039 -7.3374156, 112.7301397 -7.3373743)"
414554368,1719641936,0,379337421,Jalan Siwalankerto,residential,False,False,14.954,1.8,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7308557 -7.3375022, 112.7309867 -7.3375369)"
414554368,5608527909,0,379337421,Jalan Siwalankerto,residential,False,True,20.731,2.5,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7308557 -7.3375022, 112.7306723 -7.3374613)"
414554370,4636658003,0,379337421,Jalan Siwalankerto,residential,False,False,16.245,1.9,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7314162 -7.3377379, 112.731549 -7.3378011)"
414554370,5608527900,0,379337421,Jalan Siwalankerto,residential,False,True,29.646,3.6,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7314162 -7.3377379, 112.7311753 -7.3376196)"
414554371,6722325581,0,379337421,Jalan Siwalankerto,residential,False,False,14.863,1.8,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7319676 -7.3379938, 112.7320848 -7.3380598)"
414554371,4636658003,0,379337421,Jalan Siwalankerto,residential,False,True,50.895,6.1,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7319676 -7.3379938, 112.731549 -7.3378011)"
414554371,6722842343,0,715302136,,residential,False,True,24.55,2.9,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7319676 -7.3379938, 112.7319065 -7.3382061)"
414554372,4636658194,0,379337421,Jalan Siwalankerto,residential,False,False,19.877,2.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7322052 -7.3381382, 112.7323419 -7.3382547)"
414554372,6722325581,0,379337421,Jalan Siwalankerto,residential,False,True,15.884,1.9,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7322052 -7.3381382, 112.7320848 -7.3380598)"
414554373,9468260991,0,379337421,Jalan Siwalankerto,residential,False,False,25.148,3.0,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7324347 -7.3383415, 112.7325999 -7.3384974)"
414554373,4636658194,0,379337421,Jalan Siwalankerto,residential,False,True,14.068,1.7,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7324347 -7.3383415, 112.7323419 -7.3382547)"
414554374,414554375,0,379337421,Jalan Siwalankerto,residential,False,False,11.205,1.3,30,25.0,2000.0,2,4,,,,"LINESTRING (112.732877 -7.3387466, 112.7329567 -7.3388091)"
414554374,6723021315,0,379337421,Jalan Siwalankerto,residential,False,True,18.267,2.2,30,25.0,2000.0,2,4,,,,"LINESTRING (112.732877 -7.3387466, 112.7327521 -7.3386387)"
414554375,4636658280,0,379337421,Jalan Siwalankerto,residential,False,False,16.968,2.0,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7329567 -7.3388091, 112.7330862 -7.3388915)"
414554375,414554374,0,379337421,Jalan Siwalankerto,residential,False,True,11.205,1.3,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7329567 -7.3388091, 112.732877 -7.3387466)"
414554376,9468197994,0,379337421,Jalan Siwalankerto,residential,False,False,11.145,1.3,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7332778 -7.3389882, 112.7333679 -7.3390336)"
414554376,4636658280,0,379337421,Jalan Siwalankerto,residential,False,True,23.709,2.8,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7332778 -7.3389882, 112.7330862 -7.3388915)"
