osmid,y,x,street_count,highway,geometry
414554367,-7.3374156,112.73039,2,,POINT (112.73039 -7.3374156)
414554368,-7.3375022,112.7308557,2,,POINT (112.7308557 -7.3375022)
414554370,-7.3377379,112.7314162,2,,POINT (112.7314162 -7.3377379)
414554371,-7.3379938,112.7319676,3,,POINT (112.7319676 -7.3379938)
414554372,-7.3381382,112.7322052,2,,POINT (112.7322052 -7.3381382)
414554373,-7.3383415,112.7324347,2,,POINT (112.7324347 -7.3383415)
414554374,-7.3387466,112.732877,2,,POINT (112.732877 -7.3387466)
414554375,-7.3388091,112.7329567,2,,POINT (112.7329567 -7.3388091)
414554376,-7.3389882,112.7332778,2,,POINT (112.7332778 -7.3389882)
414554377,-7.3391237,112.733547,3,,POINT (112.733547 -7.3391237)
414554378,-7.3392143,112.7337434,2,,POINT (112.7337434 -7.3392143)
414554379,-7.3393434,112.7342119,2,,POINT (112.7342119 -7.3393434)
414554380,-7.3393675,112.7343194,2,,POINT (112.7343194 -7.3393675)
414554382,-7.339533,112.7347881,2,,POINT (112.7347881 -7.339533)
414554383,-7.3396265,112.7350123,2,,POINT (112.7350123 -7.3396265)
414554384,-7.3397295,112.7353723,2,,POINT (112.7353723 -7.3397295)
414554385,-7.3397988,112.735713,3,,POINT (112.735713 -7.3397988)
414554388,-7.3400111,112.7369015,2,,POINT (112.7369015 -7.3400111)
414554389,-7.3399991,112.73701,3,,POINT (112.73701 -7.3399991)
414554390,-7.3399228,112.7370953,2,,POINT (112.7370953 -7.3399228)
414554391,-7.3398072,112.7371657,2,,POINT (112.7371657 -7.3398072)
414554392,-7.3395592,112.7372846,3,,POINT (112.7372846 -7.3395592)
414554395,-7.3384769,112.7374745,3,,POINT (112.7374745 -7.3384769)
414555413,-7.340008,112.7396945,2,,POINT (112.7396945 -7.340008)
414555414,-7.3399791,112.7390021,3,,POINT (112.7390021 -7.3399791)
414555415,-7.3399373,112.7387166,2,,POINT (112.7387166 -7.3399373)
414555416,-7.3397965,112.7383923,2,,POINT (112.7383923 -7.3397965)
1719578490,-7.3284772,112.7365848,4,,POINT (112.7365848 -7.3284772)
1719578515,-7.3288813,112.7362886,3,,POINT (112.7362886 -7.3288813)
1719578520,-7.3290722,112.7393094,3,,POINT (112.7393094 -7.3290722)
1719578546,-7.3294983,112.739121,3,,POINT (112.739121 -7.3294983)
1719578638,-7.3304609,112.7354286,3,,POINT (112.7354286 -7.3304609)
1719578655,-7.3305643,112.7386055,2,,POINT (112.7386055 -7.3305643)
1719578717,-7.3309727,112.7374299,3,,POINT (112.7374299 -7.3309727)
1719578721,-7.3310346,112.735098,3,,POINT (112.735098 -7.3310346)
1719578746,-7.3311744,112.7373816,2,,POINT (112.7373816 -7.3311744)
1719578747,-7.3311822,112.738333,4,,POINT (112.738333 -7.3311822)
1719578771,-7.3313142,112.7393031,1,,POINT (112.7393031 -7.3313142)
1719578776,-7.3312804,112.7370593,2,,POINT (112.7370593 -7.3312804)
1719578778,-7.331306,112.7368462,3,,POINT (112.7368462 -7.331306)
1719578789,-7.3313654,112.7364856,2,,POINT (112.7364856 -7.3313654)
1719578799,-7.3313846,112.7362729,2,,POINT (112.7362729 -7.3313846)
1719578811,-7.3314362,112.7348508,4,,POINT (112.7348508 -7.3314362)
1719578814,-7.3314659,112.7382352,2,,POINT (112.7382352 -7.3314659)
1719578818,-7.331598,112.7382232,2,,POINT (112.7382232 -7.331598)
1719578825,-7.3318117,112.7369629,2,,POINT (112.7369629 -7.3318117)
1719578878,-7.333105,112.7340241,3,,POINT (112.7340241 -7.333105)
1719578936,-7.3340219,112.7336553,4,,POINT (112.7336553 -7.3340219)
1719579181,-7.3370396,112.7386382,3,,POINT (112.7386382 -7.3370396)
1719579206,-7.3374229,112.7407763,2,,POINT (112.7407763 -7.3374229)
1719579214,-7.3375132,112.74143,2,,POINT (112.74143 -7.3375132)
1719641669,-7.3339479,112.7336822,4,,POINT (112.7336822 -7.3339479)
1719641682,-7.3346113,112.7308607,2,,POINT (112.7308607 -7.3346113)
1719641687,-7.3346417,112.7334264,2,,POINT (112.7334264 -7.3346417)
1719641692,-7.3347911,112.7307621,2,,POINT (112.7307621 -7.3347911)
1719641702,-7.3348857,112.7317734,2,,POINT (112.7317734 -7.3348857)
