LinkID,Node1,Node2,Capacity,Distance,MaxSpeed,NumLane,RoadWidth,RoadType,RoadName
1,50,49,1500,19,20,1,2.75,tertiary,Jalan Siwalankerto
2,49,294,1500,52,20,1,2.75,tertiary,Jalan Siwalankerto
3,101,100,8000.0,15,85.0,4,16,trunk_link,Jalan Jenderal Ahmad Yani
4,100,99,8000.0,10,85.0,4,16,trunk_link,Jalan Jenderal Ahmad Yani
5,99,98,8000.0,8,85.0,4,16,trunk_link,Jalan Jenderal Ahmad Yani
6,98,97,8000.0,4,85.0,4,16,trunk_link,Jalan Jenderal Ahmad Yani
7,97,96,8000.0,4,85.0,4,16,trunk_link,Jalan Jenderal Ahmad Yani
8,96,95,8000.0,4,85.0,4,16,trunk_link,Jalan Jenderal Ahmad Yani
9,95,203,8000.0,1,85.0,4,16,trunk_link,Jalan Jenderal Ahmad Yani
10,417,418,2250.0,9,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
11,418,417,2250.0,9,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
12,418,407,2250.0,15,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
13,407,418,2250.0,15,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
14,407,406,2250.0,52,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
15,406,407,2250.0,52,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
16,406,405,2250.0,56,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
17,405,406,2250.0,56,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
18,405,404,2250.0,7,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
19,404,405,2250.0,7,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
20,404,403,2250.0,49,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
21,403,404,2250.0,49,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
22,403,402,2250.0,49,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
23,402,403,2250.0,49,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
24,402,401,2250.0,53,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
25,401,402,2250.0,53,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
26,401,400,2250.0,13,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
27,400,401,2250.0,13,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
28,400,399,2250.0,68,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
29,399,400,2250.0,68,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
30,399,398,2250.0,58,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
31,398,399,2250.0,58,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
32,398,397,2250.0,29,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
33,397,398,2250.0,29,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
34,397,396,2250.0,11,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
35,396,397,2250.0,11,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
36,396,395,2250.0,14,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
37,395,396,2250.0,14,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
38,395,394,2250.0,15,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
39,394,395,2250.0,15,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
40,394,393,2250.0,16,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
41,393,394,2250.0,16,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
42,393,392,2250.0,15,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
43,392,393,2250.0,15,50.0,2,4.5,tertiary,Jalan Gayungsari Barat X
