NodeID,X,Y,osmID
0,-7.3293181,112.7449398,2305814946
1,-7.329334,112.7451111,2305814941
2,-7.3293446,112.7453043,1719578576
3,-7.3293583,112.7455035,2305814940
4,-7.329368,112.7458764,2305822287
5,-7.3293721,112.7459467,2320726184
6,-7.3292844,112.7459465,2320726181
7,-7.3292596,112.7455567,2305814949
8,-7.3292544,112.7454479,6901788141
9,-7.3284512,112.74471,2302704471
10,-7.3292135,112.7446577,2305814944
11,-7.3292108,112.7444944,3234302826
12,-7.3292032,112.7440242,2306391949
13,-7.3291751,112.7435005,2306391947
14,-7.3291621,112.7433264,3674401166
15,-7.32914,112.7431422,7440509998
16,-7.329118,112.742992,7440510001
17,-7.3290881,112.7428512,7440509999
18,-7.3290333,112.7425505,7440510000
19,-7.3290307,112.7424792,7652103751
20,-7.3273765,112.7319359,7689369225
21,-7.3273966,112.7319507,7689369226
22,-7.3274117,112.7319671,7689369227
23,-7.3274888,112.7320719,7689369228
24,-7.3275567,112.7322505,7627979129
25,-7.3275807,112.7323239,7627979128
26,-7.3275897,112.7323665,6009697552
27,-7.3276069,112.7325106,6009697553
28,-7.3276103,112.7326159,7627979127
29,-7.327603,112.7327822,6009697554
30,-7.3456707,112.7296259,1719642522
31,-7.3449877,112.7296299,5610534566
32,-7.3442515,112.7296393,4566409419
33,-7.3440932,112.7296413,1719642452
34,-7.3432519,112.7296681,5009822620
35,-7.3431529,112.7296703,4546015166
36,-7.3427817,112.7296669,7231967197
37,-7.3427365,112.729667,7231967206
38,-7.3423952,112.7296716,5610534564
39,-7.3421302,112.7296765,1719642295
40,-7.3416831,112.729684,5610534561
41,-7.3412947,112.7296936,7632262921
42,-7.3409219,112.7297009,1719642168
43,-7.3404514,112.7297232,7632262922
44,-7.3399672,112.7297607,5608527901
45,-7.3394591,112.729813,6722346448
46,-7.3389975,112.7298718,1719642020
47,-7.3387534,112.7299112,5608527907
48,-7.3374868,112.7300708,3826351305
49,-7.3373552,112.7299095,534580240
50,-7.3373692,112.7300852,1719641913
51,-7.3372673,112.7300964,3826351306
52,-7.3368281,112.7301644,6722346449
53,-7.3363958,112.7302314,6722346450
54,-7.3360008,112.7302985,6722346447
55,-7.3355758,112.7303669,4654980171
56,-7.3351432,112.730429,1719641713
57,-7.3345416,112.7305238,6722346446
58,-7.333987,112.7306165,3674468321
59,-7.3337078,112.7306539,4520332225
60,-7.3333751,112.7307048,7632262918
61,-7.3330005,112.7307643,3674468318
62,-7.3327526,112.7308014,7632262919
63,-7.331467,112.73102,1719578803
64,-7.3301512,112.7312912,5605824177
65,-7.3300125,112.7313204,4520332007
66,-7.3296175,112.7314103,3674468319
67,-7.328826,112.7315792,4650630349
68,-7.3284243,112.7316812,6734838243
69,-7.3279082,112.7317777,3674468322
70,-7.3274832,112.7318756,4643595664
71,-7.3274214,112.7318917,6009697551
72,-7.3273276,112.7319071,6737596570
73,-7.326176,112.731255,6463361209
74,-7.3264424,112.7310173,414289200
75,-7.326598,112.7308755,414289197
76,-7.3267252,112.730769,7612003336
77,-7.3268039,112.7307159,5460971512
78,-7.3269087,112.7306669,5603405158
79,-7.3269585,112.7306477,7612003338
80,-7.3269889,112.7306379,414289192
81,-7.3270875,112.730622,5460971511
82,-7.3271451,112.730623,7612003337
83,-7.3272063,112.730629,2913698667
84,-7.32729,112.7306398,7612003339
85,-7.3273728,112.7306572,6463361208
